-0.371,-0.576,0.931
-0.349,-0.643,1.098
-0.304,-0.702,1.155
-0.263,-0.719,1.165
-0.174,-0.789,1.191
-0.096,-0.810,1.077
0.052,-0.859,0.995
0.373,-0.907,0.815
0.757,-1.162,0.443
1.359,-1.599,-0.108
2.230,-2.187,-1.707
2.275,-1.944,-1.843
0.741,-1.206,-0.424
-1.556,0.773,0.278
3.096,4.000,-3.933
2.474,-1.263,-1.066
-0.198,-0.678,1.228
-0.051,-0.950,0.077
1.194,-0.880,0.374
0.402,-0.864,0.403
0.127,-0.886,0.325
0.059,-0.835,0.363
0.096,-0.730,0.457
0.139,-0.659,0.507
0.121,-0.618,0.553
0.232,-0.655,0.517
0.257,-0.544,0.608
0.051,-0.517,0.771
-0.079,-0.550,0.850
-0.185,-0.301,0.888
0.468,-0.742,0.938
0.399,-0.708,0.791
0.373,-0.797,0.923
-0.161,-0.834,0.824
-0.112,-0.729,0.923
0.093,-0.908,0.973
-0.134,-0.720,0.954
-0.047,-0.677,0.905
-0.218,-0.736,0.840
0.085,-0.826,0.914
-0.192,-0.674,0.875
-0.362,-0.671,0.852
-0.207,-0.643,0.896
-0.384,-0.512,0.876
-0.246,-0.493,0.803
-0.193,-0.492,0.757
-0.477,-0.497,0.905
-0.451,-0.492,0.881
-0.420,-0.441,0.977
-0.474,-0.363,1.069
-0.281,-0.374,0.966
-0.265,-0.434,1.029
-0.348,-0.371,0.978
-0.336,-0.424,0.943
-0.303,-0.376,0.931
-0.314,-0.414,0.874
-0.343,-0.441,0.815
-0.283,-0.484,0.744
-0.375,-0.494,0.735
-0.418,-0.518,0.723
-0.352,-0.557,0.703
-0.443,-0.589,0.772
-0.463,-0.610,0.807
-0.409,-0.570,0.804
-0.363,-0.535,0.798
-0.347,-0.541,0.687
-0.396,-0.679,0.596
-0.419,-0.724,0.623
-0.519,-0.723,0.592
-0.573,-0.662,0.660
-0.493,-0.620,0.623
-0.589,-0.560,0.681
-0.508,-0.568,0.767
-0.474,-0.552,0.731
-0.418,-0.603,0.714
-0.417,-0.636,0.653
-0.433,-0.650,0.629
-0.484,-0.605,0.650
-0.498,-0.584,0.627
-0.407,-0.619,0.567

 -,-,-
-2.530,-1.422,0.233
-0.708,-0.218,0.665
-0.693,-0.220,0.427
-0.670,-0.276,0.555
-0.873,-0.299,0.529
-0.880,-0.387,0.483
-0.636,-0.323,0.697
-0.624,-0.361,0.667
-0.543,-0.295,0.972
-0.590,-0.424,0.830
-0.868,-0.508,0.786
-0.757,-0.371,0.857
-0.711,-0.354,0.697
-0.557,-0.328,0.780
-0.491,-0.307,0.761
-0.448,-0.365,0.698
-0.379,-0.245,0.831
-0.442,-0.311,0.716
-0.441,-0.202,0.801
-0.599,-0.315,0.844
-0.673,-0.440,0.964
-0.487,-0.478,0.987
-0.419,-0.478,1.055
-0.497,-0.524,1.058
-0.379,-0.583,1.182
-0.338,-0.627,1.168
-0.240,-0.669,1.194
-0.108,-0.710,1.192
0.063,-0.765,1.056
0.426,-0.806,0.903
0.632,-0.941,0.511
0.893,-1.000,-0.005
1.568,-1.389,-0.925
2.544,-1.865,-2.354
1.217,-1.786,-1.482
-0.636,-0.650,0.038
-4.000,1.816,-0.157
-1.197,1.957,-0.259
1.507,-0.873,-1.025
-0.625,-1.056,0.583
1.351,-0.799,0.436
1.353,-0.797,0.524
0.118,-0.890,0.499
-0.148,-0.764,0.585
0.005,-0.702,0.602
0.227,-0.751,0.616
0.262,-0.574,0.656
0.081,-0.744,0.541
0.078,-0.617,0.533
0.431,-0.619,0.552
0.111,-0.664,0.519
0.303,-0.959,0.627
0.046,-0.254,0.505
1.172,-0.627,0.666
-0.090,-0.462,0.635
0.145,-0.588,0.849
0.172,-0.487,0.915
